timestamp,temperature,humidity
2021-09-28 09:17:00,23.57,40.6
2021-09-28 09:32:00,23.58,40.5
2021-09-28 09:47:00,23.58,40.9
2021-09-28 10:01:00,23.56,40.6
2021-09-28 10:16:00,23.53,40.4
2021-09-28 10:31:00,23.53,40.4
2021-09-28 10:46:00,23.53,40.3
2021-09-28 11:00:00,23.53,40.4
2021-09-28 11:15:00,23.53,40.4
2021-09-28 11:30:00,23.53,40.5
2021-09-28 11:45:00,23.54,40.5
2021-09-28 12:00:00,23.57,40.7
2021-09-28 12:14:00,23.61,40.8
2021-09-28 12:29:00,23.61,40.5
2021-09-28 12:44:00,23.63,40.5
2021-09-28 12:58:00,23.64,40.4
2021-09-28 13:13:00,23.63,40.3
2021-09-28 13:28:00,23.63,40.2
2021-09-28 13:43:00,23.61,40.1
2021-09-28 13:58:00,23.61,40.0
2021-09-28 14:12:00,23.61,39.9
2021-09-28 14:27:00,23.61,39.8
2021-09-28 14:42:00,23.6,39.8
2021-09-28 14:56:00,23.6,39.8
2021-09-28 15:11:00,23.59,40.0
2021-09-28 15:26:00,23.58,40.0
2021-09-28 15:41:00,23.57,40.0
2021-09-28 15:56:00,23.57,40.1
2021-09-28 16:10:00,23.57,39.7
2021-09-28 16:26:00,23.56,39.6
2021-09-28 16:40:00,23.54,39.7
2021-09-28 16:55:00,23.53,39.4
2021-09-28 17:09:00,23.53,39.4
2021-09-28 17:24:00,23.54,39.4
2021-09-28 17:39:00,23.54,39.2
2021-09-28 17:54:00,23.56,39.0
2021-09-28 18:08:00,23.57,39.0
2021-09-28 18:23:00,23.59,39.2
2021-09-28 18:38:00,23.59,39.2
2021-09-28 18:53:00,23.59,39.1
2021-09-28 19:07:00,23.58,39.0
2021-09-28 19:22:00,23.59,39.0
2021-09-28 19:37:00,23.58,39.0
2021-09-28 19:52:00,23.59,38.8
2021-09-28 20:06:00,23.61,39.1
2021-09-28 20:21:00,23.64,39.8
2021-09-28 20:36:00,23.62,40.3
2021-09-28 20:51:00,23.62,41.2
2021-09-28 21:05:00,23.62,41.5
2021-09-28 21:20:00,23.58,42.0
2021-09-28 21:50:00,23.52,42.7
2021-09-28 22:04:00,23.52,43.0
2021-09-28 22:19:00,23.52,42.9
2021-09-28 22:34:00,23.52,45.3
2021-09-28 22:49:00,23.52,46.1
2021-09-28 23:03:00,23.52,45.3
2021-09-28 23:18:00,23.52,45.7
2021-09-28 23:33:00,23.52,45.8
2021-09-28 23:48:00,23.52,45.7
2021-09-29 00:02:00,23.52,45.4
2021-09-29 00:17:00,23.52,45.2
2021-09-29 00:32:00,23.52,44.9
2021-09-29 00:47:00,23.52,44.5
2021-09-29 01:01:00,23.52,44.3
2021-09-29 01:16:00,23.52,44.2
2021-09-29 01:31:00,23.52,44.1
2021-09-29 01:46:00,23.52,46.7
2021-09-29 02:00:00,23.52,46.6
2021-09-29 02:15:00,23.49,46.1
2021-09-29 02:30:00,23.47,45.0
2021-09-29 02:45:00,23.46,44.7
2021-09-29 02:59:00,23.45,44.5
2021-09-29 03:14:00,23.43,44.3
2021-09-29 03:29:00,23.42,43.8
2021-09-29 03:44:00,23.42,43.7
2021-09-29 03:58:00,23.41,43.3
2021-09-29 04:13:00,23.39,43.4
2021-09-29 04:28:00,23.38,42.7
2021-09-29 04:28:00,23.38,42.7
2021-09-29 04:57:00,23.36,42.2
2021-09-29 05:12:00,23.34,41.8
2021-09-29 05:27:00,23.33,41.6
2021-09-29 05:42:00,23.32,41.4
2021-09-29 05:56:00,23.31,41.1
2021-09-29 06:11:00,23.31,41.1
2021-09-29 06:26:00,23.31,41.4
2021-09-29 06:26:00,23.31,41.4
2021-09-29 06:55:00,23.29,40.8
2021-09-29 07:10:00,23.27,40.5
2021-09-29 07:25:00,23.25,40.3
2021-09-29 07:40:00,23.23,40.2
2021-09-29 07:54:00,23.22,40.0
2021-09-29 08:09:00,23.21,39.9
2021-09-29 08:24:00,23.21,39.8
2021-09-29 08:39:00,23.2,39.8
2021-09-29 08:53:00,23.2,39.7
2021-09-29 09:08:00,23.19,39.6
2021-09-29 09:23:00,23.21,39.7
2021-09-29 09:38:00,23.23,39.7
2021-09-29 09:52:00,23.24,39.7
2021-09-29 10:07:00,23.25,39.7
2021-09-29 10:22:00,23.25,39.7
2021-09-29 10:37:00,23.25,39.6
2021-09-29 10:51:00,23.25,39.6
2021-09-29 11:06:00,23.27,39.6
2021-09-29 11:21:00,23.27,39.8
2021-09-29 11:36:00,23.28,39.7
2021-09-29 11:50:00,23.28,39.8
2021-09-29 12:05:00,23.28,39.8
2021-09-29 12:35:00,23.31,40.2
2021-09-29 12:49:00,23.33,40.2
2021-09-29 13:04:00,23.34,40.2
2021-09-29 13:19:00,23.43,41.5
2021-09-29 13:34:00,23.44,41.4
2021-09-29 13:48:00,23.43,40.9
2021-09-29 14:03:00,23.42,40.4
2021-09-29 14:18:00,23.41,40.0
2021-09-29 14:33:00,23.41,39.9
2021-09-29 14:47:00,23.41,39.8
2021-09-29 15:02:00,23.39,39.6
2021-09-29 15:17:00,23.38,39.4
2021-09-29 15:32:00,23.38,39.2
2021-09-29 15:46:00,23.38,39.1
2021-09-29 16:01:00,23.37,39.0
2021-09-29 16:16:00,23.37,39.0
2021-09-29 16:30:00,23.37,39.0
2021-09-29 16:45:00,23.34,39.0
2021-09-29 17:00:00,23.33,39.3
2021-09-29 17:15:00,23.38,39.5
2021-09-29 17:30:00,23.43,39.5
2021-09-29 17:44:00,23.46,40.9
2021-09-29 17:59:00,23.47,41.3
2021-09-29 18:14:00,23.49,41.2
2021-09-29 18:29:00,23.49,40.8
2021-09-29 18:43:00,23.52,40.6
2021-09-29 18:58:00,23.52,40.4
2021-09-29 19:13:00,23.56,40.4
2021-09-29 19:28:00,23.57,39.9
2021-09-29 19:42:00,23.56,39.6
2021-09-29 19:57:00,23.58,39.9
2021-09-29 20:12:00,23.61,40.0
2021-09-29 20:27:00,23.63,40.1
2021-09-29 20:41:00,23.66,40.0
2021-09-29 20:56:00,23.68,40.0
2021-09-29 21:11:00,23.69,40.0
2021-09-29 21:26:00,23.71,40.0
2021-09-29 21:40:00,23.73,40.0
2021-09-29 21:55:00,23.73,40.0
2021-09-29 22:10:00,23.74,40.2
2021-09-29 22:25:00,23.72,40.2
2021-09-29 22:39:00,23.69,40.1
2021-09-29 22:54:00,23.68,40.1
2021-09-29 23:09:00,23.65,40.1
2021-09-29 23:23:00,23.65,42.0
2021-09-29 23:38:00,23.66,44.0
2021-09-29 23:53:00,23.65,43.9
2021-09-30 00:08:00,23.62,43.3
2021-09-30 00:23:00,23.6,42.9
2021-09-30 00:37:00,23.58,42.7
2021-09-30 00:52:00,23.56,42.5
2021-09-30 01:07:00,23.53,42.4
2021-09-30 01:22:00,23.52,42.3
2021-09-30 01:36:00,23.52,42.1
2021-09-30 01:51:00,23.52,42.0
2021-09-30 02:06:00,23.52,41.9
2021-09-30 02:21:00,23.5,41.9
2021-09-30 02:35:00,23.49,41.7
2021-09-30 02:50:00,23.47,41.7
2021-09-30 03:20:00,23.45,41.6
2021-09-30 03:34:00,23.44,41.4
2021-09-30 03:49:00,23.43,41.3
2021-09-30 04:04:00,23.42,41.2
2021-09-30 04:19:00,23.41,41.1
2021-09-30 04:33:00,23.39,41.1
2021-09-30 04:48:00,23.38,41.1
2021-09-30 05:03:00,23.37,41.1
2021-09-30 05:18:00,23.37,41.1
2021-09-30 05:32:00,23.34,41.0
2021-09-30 05:47:00,23.34,40.9
2021-09-30 06:02:00,23.32,40.8
2021-09-30 06:17:00,23.32,40.9
2021-09-30 06:31:00,23.33,41.1
2021-09-30 06:46:00,23.33,41.0
2021-09-30 07:01:00,23.31,40.9
2021-09-30 07:16:00,23.3,40.7
2021-09-30 07:30:00,23.28,40.6
2021-09-30 07:45:00,23.27,40.5
